Описание на услугата, Такса (лв.)
"100 SMS към М-Тел - 6м.-BlackBerry",-0.60
"11888 (информация) MtelContact",0.33
"180 мин. Бизнес разговори",-108.01
"300 мин. отстъпка Мобилен VPN",-1.00
"33% отстъпка международни разговори-2,3 международна зона",-290.62
"40 мин нац. разговори (без MVPN и Бизнес разг.)",-9.35
"40 мин. Бизнес разговори",-20.36
"40 мин. Бизнес разговори натоварена часова зона",-0.54
"40 мин. Бизнес разговори ненатоварена часова зона",-0.18
"45 мин нац. разговори (без MVPN и Бизнес разг.)",-1524.72
"45 мин нац. разговори (без MVPN и Бизнес разг.) натоварена часова зона",-9.90
"45 мин нац. разговори (без MVPN и Бизнес разг.) ненатоварена часова зона",-4.40
"50% отстъпка международни разговори-1 международна зона",-31.81
"90 мин нац. разговори (без MVPN и Бизнес разг.)",-541.30
"90 мин. Бизнес разговори",-408.47
"Business Traveller Входящи Повиквания-Телефония",113.68
"Business Traveller Изходящи Повиквания-Телефония",330.78
"Business Traveller-Входящи SMS",0.00
"Business Traveller-Изходящи SMS",70.12
"Data Traveller Роуминг GPRS,Изходящо повикване",127.95
"M-Tel Broadband 1500 MB",41.25
"M-Tel Surf 25 MB",24.75
"M-Tel Surf 250 MB M-Class 1yr.",35.98
"M-Tel Surf START М-клас 1г",37.65
"M-Tel Surf START М-клас 2г",13.99
"M-Tel Surf М-клас 1г",29.99
"MMS",41.15
"MMS Вивател",2.60
"MUSICALL",6.00
"SMS допълн. услуги, специална тарифа ( SMS паркиране, игри и др.)",112.05
"SMS към абонати на М-Тел",494.98
"SMS към други мобилни оператори",185.40
"SMS, допълнителни услуги, специална тарифа",261.25
"Vodafone live!",23.25
"Безплатни разговори (*88, *77, 131, 0800 и др.)",0.00
"Бизнес общност, Телефония натоварена часова зона",360.85
"Бизнес общност, Телефония ненатоварена часова зона",272.25
"Детайлна справка",0.00
"Допълнителни услуги, нормална тарифа",3.86
"Допълнителни услуги, специална тарифа",5.00
"Евроком Изходящо повикване натоварена часова зона",0.40
"Евроком Изходящо повикване ненатоварена часова зона",1.09
"Зареждане на "Прима"",58.33
"Източна Телекомуникационна Компания Изх. повикване натоварена часова зона",0.20
"Интернет (MB)",181.27
"М-Тел - Вивател натоварена часова зона",194.78
"М-Тел - Вивател ненатоварена часова зона",145.86
"М-Тел - ГлоБул натоварена часова зона",705.49
"М-Тел - ГлоБул ненатоварена часова зона",713.29
"М-Тел - М-Тел натоварена часова зона",1722.43
"М-Тел - М-Тел ненатоварена часова зона",1544.46
"М-Тел - Фиксирани оператори натоварена часова зона",180.42
"М-Тел - Фиксирани оператори ненатоварена часова зона",144.17
"Международни разговори",942.51
"Месечна такса",10.90
"Месечна такса БизКласа",2379.30
"Мобилен Интернет през 0881000 (минути)",0.88
"Отстъпка 1000 минути Мобилен VPN",-425.16
"Отстъпка 30 мин. от разговори М-Тел - М-Тел",0.00
"Промоция M-Tel Surf 25 MB",8.25
"Разговори в Мобилен VPN натоварена часова зона",260.62
"Разговори в Мобилен VPN ненатоварена часова зона",165.54
"Роуминг MMS",0.00
"Такса Блекбери Про+ 70MB",108.00
"Такса БлекбериПро Корп. Клиенти",270.00
